frame,time_s,detected,handedness,score,pos_Thumb,pos_ThumbRot,pos_Index,pos_Middle,pos_Ring,pos_Pinky,angle_ThumbFlex,angle_ThumbAbd,angle_Index,angle_Middle,angle_Ring,angle_Pinky
209,1.831,1,Left,0.926,322,322,450,474,431,432,165.4,106.84,141.09,137.9,140.35,140.58
210,1.84,1,Left,0.942,324,324,466,487,440,439,164.85,103.36,135.51,133.93,138.9,139.34
211,1.848,1,Left,0.942,324,324,464,484,441,444,164.75,104.78,138.54,137.0,139.89,139.07
212,1.857,1,Left,0.94,323,323,478,497,452,451,165.05,104.58,134.61,133.18,137.41,138.15
213,1.865,1,Left,0.933,324,324,472,492,450,452,165.07,103.97,138.55,136.48,139.83,139.14
214,1.873,1,Left,0.942,326,326,465,485,440,440,164.1,104.43,139.12,137.48,141.84,142.34
215,1.882,1,Left,0.935,327,327,461,479,434,436,165.13,103.27,139.13,137.8,141.7,141.16
216,1.891,1,Left,0.949,331,331,455,469,423,425,164.68,101.32,139.94,139.31,143.62,143.47
217,1.899,1,Left,0.945,330,330,463,479,429,427,164.7,104.06,137.07,135.27,140.18,141.11
218,1.908,1,Left,0.93,326,326,454,462,415,415,165.4,104.6,140.42,141.08,144.95,144.33
219,1.916,1,Left,0.944,324,324,461,466,415,410,164.77,105.85,137.38,137.4,142.41,143.86
220,1.924,1,Left,0.921,318,318,464,472,424,418,165.42,107.94,137.73,136.45,140.18,141.01
221,1.933,1,Left,0.944,324,324,462,474,424,417,164.32,102.89,138.68,136.91,141.79,142.32
222,1.941,1,Left,0.948,332,332,451,466,419,415,164.19,100.15,141.15,139.23,142.81,142.91
223,1.95,1,Left,0.948,330,330,446,460,413,409,164.13,105.16,140.46,139.56,143.71,144.09
224,1.958,1,Left,0.949,334,334,446,460,411,406,163.85,102.46,139.65,138.61,143.07,143.65
225,1.967,1,Left,0.952,331,331,450,457,405,400,164.62,104.51,138.68,139.28,144.43,144.72
226,1.975,1,Left,0.942,331,331,459,474,424,413,165.15,102.26,137.26,134.38,138.6,140.5
227,1.984,1,Left,0.959,338,338,456,478,433,426,164.0,99.37,139.37,136.22,139.48,139.5
228,1.992,1,Left,0.95,339,339,456,487,443,436,163.63,102.92,138.8,134.82,138.32,139.06
229,2.001,1,Left,0.953,334,334,452,473,425,419,164.67,104.8,139.96,139.67,144.56,144.82
230,2.009,1,Left,0.955,337,337,465,492,444,435,163.67,102.3,136.02,132.49,136.64,138.15
231,2.018,1,Left,0.925,326,326,460,485,439,429,164.77,109.51,139.35,137.44,141.17,142.3
232,2.026,1,Left,0.949,329,329,467,493,446,435,164.55,102.92,136.85,134.28,138.67,139.64
233,2.035,1,Left,0.934,329,329,449,473,427,419,163.9,105.25,142.32,140.73,144.45,144.67
234,2.043,1,Left,0.945,329,329,461,485,437,425,163.91,105.51,136.53,134.33,139.02,140.63
235,2.052,1,Left,0.931,321,321,456,474,427,419,164.73,109.25,139.74,139.05,143.07,142.98
236,2.061,1,Left,0.947,330,330,468,493,444,433,164.04,100.6,135.77,132.53,137.11,138.8
237,2.07,1,Left,0.923,320,320,454,471,426,418,165.15,109.65,141.41,141.15,144.53,144.62
238,2.078,1,Left,0.949,321,321,445,455,404,398,164.71,105.15,141.17,141.54,146.92,147.24
239,2.087,1,Left,0.951,319,319,452,455,403,394,164.93,106.63,138.22,139.06,143.71,144.93
240,2.095,1,Left,0.943,319,319,453,458,406,397,164.8,106.47,138.98,138.29,142.87,143.74
241,2.104,1,Left,0.953,323,323,454,460,407,396,164.27,103.8,138.79,138.12,142.95,144.36
242,2.112,1,Left,0.939,324,324,460,466,411,395,165.35,103.74,137.43,137.12,142.11,144.28
243,2.12,1,Left,0.944,326,326,456,460,406,387,163.68,105.26,139.61,139.46,144.26,146.32
244,2.129,1,Left,0.942,325,325,463,470,417,397,164.83,105.27,137.0,135.95,140.42,142.42
245,2.137,1,Left,0.925,320,320,452,456,403,385,165.72,105.83,140.98,141.26,145.94,146.95
246,2.146,1,Left,0.945,323,323,467,471,419,401,163.78,106.26,135.48,135.12,139.44,141.27
247,2.154,1,Left,0.933,318,318,467,469,419,403,165.43,107.12,137.8,138.01,142.14,143.23
